View_pages_cid,View_pages_page,View_pages_from,View_pages_part,View_pages_duration,View_pages_vid,View_pages_weblink,View_pages_dimension_width,View_pages_dimension_height,View_pages_dimension_rotate,aid
1491078,5,vupload,6,2182,,,480,360,0,1030145
1491079,6,vupload,7,2199,,,480,360,0,1030145
1491080,7,vupload,8,1931,,,480,360,0,1030145
1491083,8,vupload,9,1952,,,480,360,0,1030145
1491085,9,vupload,11,1971,,,480,360,0,1030145
1491086,10,vupload,12(终）,1639,,,480,360,0,1030145
1491070,1,vupload,,393,,,640,360,0,1030142
1491068,1,vupload,,153,,,640,360,0,1030140
1491069,1,vupload,,354,,,640,360,0,1030141
1491081,1,vupload,,544,,,640,360,0,1030146
1491082,1,vupload,,416,,,640,360,0,1030147
1491090,1,vupload,,236,,,512,288,0,1030152
1491089,1,vupload,P1,0,,,672,378,0,1030150
161204988,2,vupload,高清,2877,,,1920,1080,0,1030150
1491105,1,vupload,,76,,,640,360,0,1030155
1491106,1,vupload,,348,,,640,360,0,1030156
1491119,1,vupload,,213,,,576,360,0,1030164
1491112,1,vupload,,4293,,,480,360,0,1030162
1491110,1,vupload,,211,,,590,360,0,1030160
1491131,1,vupload,,6919,,,1680,1050,0,1030167
1491135,1,vupload,,762,,,480,360,0,1030171
1491142,1,vupload,①,630,,,448,298,0,1030176
1491143,2,vupload,②,609,,,448,298,0,1030176
1491137,1,vupload,,222,,,638,360,0,1030173
1491144,1,vupload,,2754,,,448,336,0,1030177
1491638,1,vupload,,92,,,640,360,0,1030181
7205941,1,vupload,,2819,,,480,360,0,1030191
1491165,1,vupload,1.其实游戏声音还是没录进去,993,,,640,480,0,1030193
1491173,1,vupload,,4217,,,638,360,0,1030203
1491172,1,vupload,,827,,,640,360,0,1030202
1491176,1,vupload,,518,,,512,288,0,1030207
1491312,1,vupload,,2579,,,640,360,0,1030213
1491491,1,vupload,,711,,,640,360,0,1030217
1491201,1,vupload,,686,,,640,360,0,1030225
1491207,1,vupload,,85,,,640,360,0,1030227
1491257,1,vupload,1,1753,,,464,360,0,1030230
1491258,2,vupload,2,600,,,464,360,0,1030230
1491277,1,vupload,,40,,,640,360,0,1030235
1491261,1,vupload,,225,,,480,360,0,1030232
1491278,1,vupload,,248,,,512,288,0,1030236
1491263,1,vupload,I wanna be the Dieary #01 - 緑ステージ,297,,,960,720,0,1030234
1491264,2,vupload,I wanna be the Dieary #02 - 竹内理緒,52,,,960,720,0,1030234
1491265,3,vupload,I wanna be the Dieary #03 - 黄ステージ,161,,,480,360,0,1030234
1491266,4,vupload,I wanna be the Dieary #04 - ネオン,48,,,480,360,0,1030234
1491267,5,vupload,I wanna be the Dieary #05 - 水色ステージ,89,,,960,720,0,1030234
1491268,6,vupload,I wanna be the Dieary #06 - 紫ステージ,220,,,480,360,0,1030234
1491269,7,vupload,I wanna be the Dieary #07 - 中野 梓,39,,,480,360,0,1030234
1491270,8,vupload,Youtube-I wanna be the Dieary _08 - 赤ステージ,455,,,960,720,0,1030234
1491271,9,vupload,Youtube-I wanna be the Dieary _09 - 迷子の狼,110,,,480,360,0,1030234
1491272,10,vupload,Youtube-I wanna be the Dieary _10 - 青ステージ,559,,,960,720,0,1030234
1491273,11,vupload,I wanna be the Dieary #11 - アンパンマン,16,,,480,360,0,1030234
1491274,12,vupload,I wanna be the Dieary #12 - 夢の世界,98,,,960,720,0,1030234
1491275,13,vupload,Youtube-I wanna be the Dieary _13 - EXステージ,284,,,480,360,0,1030234
1491276,14,vupload,Youtube-I wanna be the Dieary _14 - ガブリエル,92,,,480,360,0,1030234
1491294,1,vupload,,740,,,640,360,0,1030247
1491291,1,vupload,,1101,,,640,360,0,1030244
1491284,1,vupload,P1,802,,,640,360,0,1030240
1491295,1,vupload,,350,,,450,360,0,1030248
1517245,1,vupload,,560,,,640,360,0,1030242
1491305,1,vupload,爷爷的煤油灯,1469,,,640,360,0,1030258
1491306,2,vupload,木橱童子,1439,,,1280,720,0,1030258
1491307,3,vupload,羁绊一击,1469,,,640,360,0,1030258
1491308,4,vupload,万能蔬菜卜卜侠,1469,,,1280,720,0,1030258
1491304,1,vupload,,67,,,640,360,0,1030257
1491322,1,vupload,,215,,,480,360,0,1030268
1491319,1,vupload,,309,,,448,336,0,1030263
1491318,1,vupload,,1753,,,640,360,0,1030262
1491321,1,vupload,,1286,,,640,360,0,1030267
1491324,1,vupload,,81,,,320,240,0,1030270
