related_video,aid
712655731,1240004
32866618,1240004
52944352,1240004
21608034,1240004
248992438,1240004
19167926,1240004
287786819,1240004
626993046,1240004
886985480,1240004
63112730,1240004
90874921,1240004
499451145,1240004
20848223,1240004
540340460,1240004
16639156,1240004
498280328,1240004
21655021,1240004
6120227,1240004
928045718,1240004
1068913,1240004
12242317,1240004
79504547,1240015
52425543,1240015
49267,1240015
370799027,1240015
501639231,1240015
3214426,1240015
12704599,1240015
63821,1240015
4580292,1240015
144911,1240015
47597,1240015
9760539,1240015
96267287,1240015
1440017,1240015
27004824,1240015
1487798,1240015
457189348,1240015
36394550,1240015
86403725,1240015
286140299,1240015
18535126,1240015
13777842,1240015
55175468,1240015
42858529,1240015
2871313,1240015
6862383,1240015
1490978,1240015
497615468,1240015
52979729,1240015
63839503,1240015
23513577,1240015
25427029,1240015
545045662,1240015
715963999,1240015
95123392,1240015
29765681,1240015
371683042,1240015
8960781,1240015
10640301,1240015
23152884,1240015
43509886,1240018
1127003,1240018
60812907,1240018
1083064,1240018
2525490,1240018
8258387,1240018
1033926,1240018
684201120,1240018
601483804,1240018
8414921,1240018
35554670,1240018
888673608,1240018
16861559,1240018
49207496,1240018
43419194,1240018
464294587,1240018
59371368,1240018
1181255,1240018
90217632,1240018
50735465,1240018
8417473,1240018
5569327,1240018
382303388,1240018
32453940,1240018
8228110,1240018
4072039,1240018
38759206,1240018
8139238,1240018
16570951,1240018
44861671,1240018
372048185,1240018
39532149,1240018
38146223,1240018
16235775,1240018
1523366,1240018
32744894,1240018
644203343,1240018
1881774,1240018
32604224,1240018
83083217,1240027
202236301,1240027
1293362,1240025
1223747,1240025
1956037,1240025
1231226,1240025
1247435,1240025
1247450,1240025
1870782,1240025
1117368,1240025
432289979,1240025
1870756,1240025
676337023,1240025
1234075,1240025
347497269,1240025
1253263,1240025
1956018,1240025
1959225,1240025
562440964,1240025
1233961,1240025
432957968,1240025
305866364,1240025
860141958,1240025
517875405,1240025
1902414,1240025
1375677,1240025
1259894,1240025
987260669,1240025
1946339,1240025
1870833,1240025
520026700,1240025
817472172,1240025
520800835,1240025
520090978,1240025
690129588,1240025
559850945,1240025
305078451,1240025
390856208,1240025
520753617,1240025
775083466,1240025
220212779,1240025
347897980,1240025
834954,1240033
41341050,1240033
752700243,1240033
38011874,1240033
933797,1240033
8877923,1240033
89010162,1240033
37888914,1240033
37342591,1240033
554074767,1240033
248040457,1240033
5705458,1240033
37974873,1240033
38720862,1240033
16534642,1240033
3358074,1240033
38850085,1240033
32026222,1240033
37453177,1240033
40841990,1240033
2584579,1240033
20873707,1240033
675282,1240033
791815,1240033
918387,1240033
41182437,1240033
4179765,1240033
35370930,1240033
39622286,1240033
2249430,1240033
57557021,1240033
940970,1240033
16776056,1240033
35878309,1240033
15869433,1240033
287953441,1240037
1203065,1240037
55413883,1240037
1069768,1240037
1464547,1240037
19414654,1240037
10719354,1240037
210941786,1240037
1225242,1240037
2073061,1240037
1404184,1240037
1345407,1240037
56431846,1240037
36860228,1240037
1583380,1240037
64064542,1240037
1240196,1240037
38703104,1240037
32121621,1240037
33831622,1240037
759445527,1240037
839707708,1240037
20525414,1240037
1084794,1240037
7916394,1240037
12477107,1240037
35060359,1240037
77031746,1240037
7869439,1240037
47227772,1240037
372224769,1240037
1652684,1240037
27903136,1240037
203210234,1240037
291916360,1240037
36165009,1240037
381254857,1240037
1874162,1240037
926970575,1240037
11387568,1240037
371709604,1240038
10515079,1240038
3373533,1240038
78864012,1240038
643167602,1240038
772299865,1240038
