tag_id,tag_name,cover,head_cover,content,short_content,type,state,ctime,count,is_atten,likes,hates,attribute,liked,hated,extra_attr,music_id,tag_type,is_activity,color,alpha,is_season,subscribed_count,archive_count,featured_count,jump_url,aid
2319,SD敢达,http://i0.hdslb.com/bfs/tag/8627f86cfda24e9b5c6978d6b0126e4ca88438ef.jpg,,日本BANDAI在韩国的分公司BANDAI KOREA，发表的网游《SD敢达》，这是一款以动画《高达》为题材开发的网络游戏。,,3,0,1436866637,"{'view': 0, 'use': 28317, 'atten': 725}",0,0,0,0,0,0,0,,old_channel,False,,0,False,725,-,0,,1240033
7160,实况解说,http://i0.hdslb.com/bfs/tag/36955b7e83ff9f5053cf23bd870d720a598c53aa.jpg,,,,3,0,1436866637,"{'view': 0, 'use': 2788253, 'atten': 26054}",0,0,0,0,0,0,0,,old_channel,False,,0,False,26054,-,0,,1240033
253448,RWBY,http://i0.hdslb.com/bfs/tag/d348bf1dbdda7fb6aeb7fa6d995e77a4428436ff.png,http://i0.hdslb.com/bfs/tag/3db364e93b5572542da3d67ed14290af5e90aa2a.jpg,"在类现代但是充满着超自然力量的世界中，四个拥有各自的特殊能力及武器的女孩，她们因各种原因聚在一起组成团队并接受训练，以对抗怪物、恶棍或其他类似的团体。在这系列之前，人类为了生存，发起了对黑暗戮兽（Grimm）的战争，直到他们发现“尘晶”（Dust）可以被用作魔力来源，这让人类得以对抗它们，并建立了文明世界...

RWBY，即红白黑黄，是一部将在2013年7月播出正片的动作向动画。RWBY是红白黑黄的开头大写字母，代表的是红、白、黑、黄四位女主角的称号。由美国知名动画公司Rooster Teeth员工Monty Oum及其团队制作。
虽在第一部预告片发布初期被不明真相的网友称作“小红帽的逆袭”，但主要作者Monty Oum已否认与任何现存童话相关。
本系列日前已放出第一部预告片RWBY-Red Trailer与第二部RWBY—White Trailer，2013年7月将会播出正片第一话，在第一话播出之前Black和Yellow预告片将会陆续上映。",,3,0,1436866637,"{'view': 0, 'use': 15559, 'atten': 11969}",0,0,0,0,0,0,0,,new_channel,False,#729DE6,60,True,11969,9795,41,,1240037
391,AMV,http://i0.hdslb.com/bfs/tag/9c3541ab7e955c3ab6fa44387be10f85e922ad1a.png,http://i0.hdslb.com/bfs/tag/bc7e4f96535442b08543cfbb818ea15a64245a2f.jpg,动画音乐录像（Anime Music Video，简称AMV）是由一个或几个动画组成，并搭配一首歌曲的短片。大多数AMV都不是官方发行的，而是动画爱好者自己剪辑、编排而成。因此AMV大多在网上发布。许多动漫展都要举行AMV的竞赛或展出。通常，AMV都局限于日本动画，和日式电子游戏。另外，多人合作的AMV通常被称为MEP（Multi-Editor Project）。,,3,0,1436866637,"{'view': 0, 'use': 1042839, 'atten': 191350}",0,0,0,0,0,0,0,,new_channel,False,#F35C87,60,False,191350,50.5万,2892,,1240037
485740,MAD.AMV,http://i0.hdslb.com/bfs/archive/8a8a3d683b63fbfbf60f9f82b3a9a8167146471a.png,http://i0.hdslb.com/bfs/archive/d461e67905be2684c3eadb0ac021ca7ed154cddd.jpg,,,3,0,1436866637,"{'view': 0, 'use': 200371, 'atten': 64876}",0,0,0,0,0,0,0,,old_channel,False,,0,False,64876,-,0,,1240037
699560,ROUNDTABLE RIVAL,,,,,0,0,1436866637,"{'view': 0, 'use': 1, 'atten': 0}",0,0,0,0,0,0,0,,old_channel,False,,0,False,0,-,0,,1240037
1506193,LINDSEY STIRLING,,,,,0,0,1452309497,"{'view': 0, 'use': 56, 'atten': 66}",0,0,0,0,0,0,0,,old_channel,False,,0,False,66,-,0,,1240037
678178,服饰搭配,,,,,3,0,1436866637,"{'view': 0, 'use': 107234, 'atten': 21491}",0,0,0,0,0,0,0,,old_channel,False,,0,False,21491,-,0,,1240038
699561,美女夏季服装介绍,,,,,0,0,1436866637,"{'view': 0, 'use': 3, 'atten': 0}",0,0,0,0,0,0,0,,old_channel,False,,0,False,0,-,0,,1240038
547268,AOMIKE,http://i0.hdslb.com/bfs/tag/13202cdeb022d4d99044ebba660f64bd83e600ca.jpg,,最爱的CP~~~你们快给小咖啡生个猴子妹妹/弟弟啦~~,,3,0,1436866637,"{'view': 0, 'use': 518, 'atten': 663}",0,0,0,0,0,0,0,,old_channel,False,,0,False,663,-,0,,1240034
547266,李海娜,,,,,3,0,1436866637,"{'view': 0, 'use': 805, 'atten': 207}",0,0,0,0,0,0,0,,old_channel,False,,0,False,207,-,0,,1240034
581491,MIKEANGELO,http://i0.hdslb.com/bfs/tag/ccf1342af9aafddee6c207ae3db973d3ccdc7454.jpg,,"泰版浪漫满屋男主Mike D.Angelo是泰国知名歌手演员，11岁进入娱乐圈，曾是全亚洲最大娱乐集团GMM超人气兄弟组合GOLF&amp;MIKE,后又与山下智久组团GYM。单飞后主攻电视电影，其代表作有《爱超越国界》《命定天堂》《善德之源》《Full House Thai（泰版浪漫满屋）》，电影《端岛计划》，音乐代表作有YOU、忽视、AYO、只是个男子等。同时担任音乐制作及MV导演。2012年凭借善德之源获最具潜质男星奖。2013年凭借命定天堂获最佳男主角奖。",,3,0,1436866637,"{'view': 0, 'use': 146, 'atten': 378}",0,0,0,0,0,0,0,,old_channel,False,,0,False,378,-,0,,1240034
461212,FULLHOUSETHAI,,,,,0,0,1436866637,"{'view': 0, 'use': 5, 'atten': 0}",0,0,0,0,0,0,0,,old_channel,False,,0,False,0,-,0,,1240034
699571,明星惨状,,,,,0,0,1436866637,"{'view': 0, 'use': 1, 'atten': 0}",0,0,0,0,0,0,0,,old_channel,False,,0,False,0,-,0,,1240048
21338,古剑奇谭,http://i0.hdslb.com/bfs/archive/c93518939806657391ee067f3763348b7e3eeceb.jpg,http://i0.hdslb.com/bfs/archive/db4e934ed356cac43d4e48040710b1b39f0b3cbc.png,《古剑奇谭》是由北京网元圣唐娱乐科技有限公司旗下上海烛龙信息科技有限公司研发的的大型3D仙侠类单机角色扮演游戏,,3,0,1436866637,"{'view': 0, 'use': 53277, 'atten': 19273}",0,0,0,0,0,0,0,,old_channel,False,,0,False,19273,-,0,,1240043
270640,古剑奇谭二,http://i0.hdslb.com/bfs/tag/b36022d73a4691d209d9e363f6ba3a3372ec0315.png,,"古剑奇谭贰：永夜初晗凝碧天，主题为“问道”。
上古之时，一场灾劫席卷大地。
不周山天柱倾塌，天穹皲裂，霪雨无止，大水浩洋不息。
神农至西北一处天裂，以神树矩木为基，兴建流月城。
于此指引众神，以灵力炼制五色石，交由女娲补天。
补天之事耗时弥久，人界黎氓死伤惨重。
有一部族名曰“烈山”，信奉人皇神农，寿数长久，善驭灵气。
烈山部人不忍生灵涂炭，自请入住流月城相助。
神农感其赤诚，欣然应允，于是将一滴神血封入矩木。
使其蕴含的生命之力通过矩木枝叶发散，以供烈山部人不饮不食而活。
补天进展艰难。
天皇伏羲遂启用神剑昭明，赴东海斩杀巨鳌。
取其足支撑四极，暂止天穹倾颓之势。
洪水为之退歇，不日天裂亦告修补完毕。
然而昭明却于此役后崩裂损毁，不复神剑之形。
灾劫过后，人界浊气漫溢，生民因之纷纷病亡。
所幸流月城高居九天，浊气稀薄。
神农便命烈山部族暂居城内，待他另寻适宜居所。
流月城自此留驻于北疆上空。
城中终岁严寒，少有草木，展目只见莽莽矩木、皑皑雪原，冷寂无涯。
烈山部人建起巍峨神殿，于其中昼夜求祈，期盼神明早日归还。",,3,0,1436866637,"{'view': 0, 'use': 5110, 'atten': 1078}",0,0,0,0,0,0,0,,old_channel,False,,0,False,1078,-,0,,1240043
442878,谢沈,,,,,3,0,1436866637,"{'view': 0, 'use': 215, 'atten': 22}",0,0,0,0,0,0,0,,old_channel,False,,0,False,22,-,0,,1240043
438731,沈谢,,,,,3,0,1436866637,"{'view': 0, 'use': 621, 'atten': 71}",0,0,0,0,0,0,0,,old_channel,False,,0,False,71,-,0,,1240043
270641,古剑奇谭2,http://i0.hdslb.com/bfs/tag/b36022d73a4691d209d9e363f6ba3a3372ec0315.png,,,,3,0,1436866637,"{'view': 0, 'use': 4354, 'atten': 130}",0,0,0,0,0,0,0,,old_channel,False,,0,False,130,-,0,,1240043
438730,沈夜,http://i0.hdslb.com/bfs/tag/c9fd1100d0180bfb2a721ca47f3baaa4684c7761.png,,"上海烛龙研发的国产单机游戏《古剑奇谭二：永夜初晗凝碧天》中的重要角色之一，为流月城大祭司、偃师谢衣的师尊、沈曦的兄长。为了流月城烈山一脉得以延续，无奈之下与心魔砺罂联手，将矩木枝投入下界，助砺罂吸食下界七情，提升修为。作为回报，砺罂答应沈夜让烈山部人熏染魔气，从而有能力在人界生存。最终成功将族民迁往下界龙兵屿，并联合乐无异一行人，借助经晗光剑剑灵禺期重塑的神剑昭明，将砺罂杀死。沈夜为自己的决定和所做之事担下罪责，最终以身殉城。
配音演员为上译配音演员吴磊老师，代表角色《哈利·波特》-哈利·波特，《秦时明月系列》-卫庄、星魂，《冰雪奇缘》-雪宝，《大侦探福尔摩斯》-华生，《蝙蝠侠：黑暗骑士》-稻草人，《黑猫警长》（剧场版）-黑猫警长，《哆啦a梦》-胖虎等。",,3,0,1436866637,"{'view': 0, 'use': 1592, 'atten': 703}",0,0,0,0,0,0,0,,old_channel,False,,0,False,703,-,0,,1240043
