rpid,oid,type,mid,root,parent,dialog,count,rcount,floor,state,fansgrade,attr,ctime,like,action,content,replies,assist,show_follow,aid
12681330,1043814,1,787143,0,0,0,0,0,33,0,0,0,1396758138,2,0,"{'message': '我的病有救啦~~ε=ε=(ノ≧∇≦)ノ\n话说，看完小受的“~高级作死教学~”场均存活时间变少的带我一个。。(〜￣△￣)〜\n技术不行还是需要练啊~~_(:3」∠)_', 'plat': 0, 'device': ''}",,0,False,1043814
111977419,1043814,1,8595905,0,0,0,0,0,38,0,0,0,1467198748,1,0,"{'message': '看着视频之前知道怎么伸缩，但都是感觉上的，对于伸缩方式的选择基本是靠模糊的感觉，至于意义也模模糊糊似懂非懂，看完之后顿时清晰了很多', 'plat': 0, 'device': ''}",,0,False,1043814
2032035826,1043814,1,12222699,0,0,0,0,0,39,0,0,0,1571065908,0,0,"{'message': '虽然过了很多年了但是内容依旧让我受益匪浅，不得不说当年的画质真的感人[尴尬]', 'plat': 0, 'device': ''}",,0,False,1043814
12660845,1043818,1,2671247,0,0,0,0,0,1,0,0,0,1396698229,0,0,"{'message': '(ﾟДﾟ≡ﾟдﾟ)!?', 'plat': 0, 'device': ''}",,0,False,1043818
12643863,1043817,1,18050,0,0,0,0,0,1,0,0,0,1396658842,0,0,"{'message': '花嘟嘟嘟嘟嘟！', 'plat': 0, 'device': ''}",,0,False,1043817
12744731,1043815,1,1488988,0,0,0,1,1,6,0,0,0,1396879897,0,0,"{'message': 'ε=ε=(ノ≧∇≦)ノ以后我就在你们的视频里抢1L好了', 'plat': 0, 'device': ''}",,0,False,1043815
12744042,1043815,1,2271920,0,0,0,0,0,5,0,0,0,1396878848,0,0,"{'message': '有爱个P啊！！！！(╯‵□′)╯︵┻━┻', 'plat': 0, 'device': ''}",,0,False,1043815
12671028,1043815,1,74766,0,0,0,0,0,4,0,0,0,1396716328,0,0,"{'message': '求搞基', 'plat': 0, 'device': ''}",,0,False,1043815
12648062,1043823,1,3250080,0,0,0,12,12,21,1,0,0,1396670469,4,0,"{'message': '不好意思对UP的言语有些反感。\n虽然吃大屌之类的是开玩笑是卖萌，但真心让人不好受，令人反感和厌恶。\n类似于“吊死在你家网线上”“寄炸药包”之类的玩笑开开还是能让人接受的，但是UP的玩笑有些侮辱别人的尊严，看到了真心破坏心情。\n求硬币的视频不是没有，但是哪一个不是做了几星期甚至几个月才放出来的？\n我实在想不出UP主有什么理由让我们投硬币，出于支持，出于UP的卖萌？不好意思，看到UP的言论之后，实在没心情了。\n\n', 'plat': 0, 'device': ''}",,0,False,1043823
12647754,1043823,1,384762,0,0,0,1,1,18,0,0,0,1396669699,4,0,"{'message': '新视频已经做好，也已经投稿。接下来要看***君的速度了', 'plat': 0, 'device': ''}",,0,False,1043823
12772536,1043823,1,2803010,0,0,0,0,0,28,0,0,0,1396968727,3,0,"{'message': '很看好你，继续投哦~', 'plat': 0, 'device': ''}",,0,False,1043823
214877800,1043827,1,3759538,0,0,0,0,0,9,0,0,0,1489033873,0,0,"{'message': '好不容易初通船H时已经通了6L了', 'plat': 0, 'device': ''}",,0,False,1043827
14318191,1043827,1,938515,0,0,0,0,0,8,0,0,0,1401508363,0,0,"{'message': '楼主在么，给个rep可以么', 'plat': 0, 'device': ''}",,0,False,1043827
13076639,1043827,1,550136,0,0,0,0,0,7,0,0,0,1397899121,0,0,"{'message': '过了5个L 至今星莲船H没过哈哈', 'plat': 0, 'device': ''}",,0,False,1043827
12641626,1043825,1,2863618,0,0,0,0,0,1,0,0,0,1396635211,0,0,"{'message': '第一又是我的', 'plat': 0, 'device': ''}",,0,False,1043825
12640795,1043830,1,1795457,0,0,0,0,0,3,0,0,0,1396631880,1,0,"{'message': '真心神将教做人啊', 'plat': 0, 'device': ''}",,0,False,1043830
12668810,1043830,1,2074145,0,0,0,0,0,8,0,0,0,1396711683,0,0,"{'message': '和谐了？\n', 'plat': 0, 'device': ''}",,0,False,1043830
12646267,1043830,1,320687,0,0,0,0,0,7,0,0,0,1396666466,0,0,"{'message': '支持个~~辛苦~', 'plat': 0, 'device': ''}",,0,False,1043830
12643155,1043838,1,911468,0,0,0,1,1,1,0,0,0,1396654216,0,0,"{'message': '•-•求阿婆主分享加点', 'plat': 0, 'device': ''}",,0,False,1043838
1596294669,1043835,1,403330192,0,0,0,0,0,2,0,0,0,1557564048,0,0,"{'message': '6666', 'plat': 0, 'device': ''}",,0,False,1043835
118770638,1043835,1,35265376,0,0,0,0,0,1,6,0,0,1468820429,0,0,"{'message': '***kkklkkkkkk', 'plat': 0, 'device': ''}",,0,False,1043835
16768645,1043831,1,802237,0,0,0,0,0,3,0,0,0,1407228330,0,0,"{'message': '原版是洛天依。。小雨的话也算是翻唱啦。。被UP主和到同一个视频不同P里了', 'plat': 0, 'device': ''}",,0,False,1043831
13365852,1043831,1,1308732,0,0,0,0,0,2,0,0,0,1398681279,0,0,"{'message': '要是音质好点，能进首页(〜￣△￣)〜赞一个', 'plat': 0, 'device': ''}",,0,False,1043831
12663208,1043831,1,1750427,0,0,0,1,1,1,0,0,0,1396702570,0,0,"{'message': '给阿婆主赞一个！不错哦（￣▽￣）', 'plat': 0, 'device': ''}",,0,False,1043831
13842780,1043847,1,27824,0,0,0,0,0,3,0,0,0,1400061426,0,0,"{'message': '你们两个烦死了啦(╯≧∇≦)╯(┴—┴', 'plat': 0, 'device': ''}",,0,False,1043847
12656151,1043847,1,1325593,0,0,0,0,0,2,0,0,0,1396687951,0,0,"{'message': '你好烦w', 'plat': 0, 'device': ''}",,0,False,1043847
12654659,1043847,1,114932,0,0,0,0,0,1,0,0,0,1396684522,0,0,"{'message': '(●￣(ｴ)￣●)哎呀，我是ssssffffff', 'plat': 0, 'device': ''}",,0,False,1043847
12645293,1043848,1,2323100,0,0,0,0,0,6,0,0,0,1396663907,0,0,"{'message': '真的赶脚会火〜〜', 'plat': 0, 'device': ''}",,0,False,1043848
12645221,1043848,1,2323100,0,0,0,0,0,5,0,0,0,1396663653,0,0,"{'message': '赶脚会火ww', 'plat': 0, 'device': ''}",,0,False,1043848
12645214,1043848,1,2323100,0,0,0,0,0,4,0,0,0,1396663633,0,0,"{'message': '前', 'plat': 0, 'device': ''}",,0,False,1043848
12793509,1043856,1,217287,0,0,0,0,0,5,0,0,0,1397045713,0,0,"{'message': '老鼠迟早闯祸', 'plat': 0, 'device': ''}",,0,False,1043856
12791495,1043856,1,167423,0,0,0,0,0,4,0,0,0,1397041700,0,0,"{'message': '这男的好像行尸走肉400天的那个NPC...', 'plat': 0, 'device': ''}",,0,False,1043856
12669779,1043856,1,56735,0,0,0,0,0,3,0,0,0,1396713503,0,0,"{'message': '中国流浪汉带着条狗，被城管打死了2333', 'plat': 0, 'device': ''}",,0,False,1043856
12659118,1043852,1,1419384,0,0,0,0,0,8,0,0,0,1396694602,0,0,"{'message': '哦、有人先一步求了qq…up主请容我也加一下QAQ', 'plat': 0, 'device': ''}",,0,False,1043852
12642200,1043852,1,829696,0,0,0,0,0,7,0,0,0,1396639351,0,0,"{'message': 'bgm 求 最后的', 'plat': 0, 'device': ''}",,0,False,1043852
12639666,1043852,1,2835033,0,0,0,5,5,6,0,0,512,1396628912,0,0,"{'message': '求下载地址', 'plat': 0, 'device': ''}",,0,False,1043852
12812999,1043862,1,1297738,0,0,0,1,1,12,0,0,0,1397121366,1,0,"{'message': '莫名的心酸', 'plat': 0, 'device': ''}",,0,False,1043862
13362339,1043862,1,3072099,0,0,0,0,0,15,0,0,0,1398670971,0,0,"{'message': '@chen107514    ', 'plat': 0, 'device': ''}",,0,False,1043862
12990114,1043862,1,656079,0,0,0,0,0,14,0,0,0,1397625923,0,0,"{'message': '狗狗好聪明', 'plat': 0, 'device': ''}",,0,False,1043862
